stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
084,,"Dick Ward Drive opp Musgrave Cres",, -12.393400, 130.852249,,,0
085,,"Dick Ward Drive at Shopping Centre",, -12.390078, 130.852197,,,0
087,,"11 Bougainvilia Street",, -12.386211, 130.848251,,,0
088,,"27 Bougainvilia Street",, -12.384232, 130.848227,,,0
089,,"47 Bougainvilia Street",, -12.381269, 130.847713,,,0
090,,"Aralia St before Jacaranda Ave",, -12.379518, 130.848208,,,0
091,,"Ryland Rd after Nightcliff Rd",, -12.379339, 130.852044,,,0
092,,"144 Ryland Road",, -12.378910, 130.857103,,,0
093,,"122 Ryland Road",, -12.381113, 130.859260,,,0
094,,"100 Ryland Road",, -12.383453, 130.860278,,,0
095,,"82 Ryland Road",, -12.385693, 130.860993,,,0
096,,"Trower Rd opp Rapid Creek Shops",, -12.385866, 130.862775,,,0
097,,"Trower Rd opp Water Gardens",, -12.384514, 130.867233,,,0
098,,"opp 14 Lakeside Drive",, -12.381956, 130.868784,,,0
099,,"opp 46 Lakeside Drive",, -12.378203, 130.870304,,,0
100,,"opp 68 Lakeside Drive",, -12.376318, 130.872478,,,0
101,,"Charles Darwin University, Casuarina",, -12.372757, 130.870636,,,0
103,,"39 Stuart Hwy",, -12.448310, 130.840893,,,0
104,,"Stuart Hwy at St Johns College",, -12.443017, 130.841160,,,0
105,,"Stuart Hwy after Nylander St",, -12.439078, 130.840970,,,0
106,,"Stuart Hwy after Parap Rd",, -12.435450, 130.844143,,,0
107,,"Stuart Hwy after Ross Smith Ave",, -12.432644, 130.849501,,,0
108,,"Bagot Rd at Ludmilla School",, -12.424668, 130.856089,,,0
109,,"Bagot Rd at Mosec Park",, -12.420362, 130.856080,,,0
110,,"Bagot Rd (before 163)",, -12.412767, 130.855970,,,0
112,,"Bagot Rd before Old McMillans Rd",, -12.396124, 130.855906,,,0
113,,"Bagot Rd before Easther Ct",, -12.391399, 130.855911,,,0
114,,"Trower Rd at St Paul's Primary",, -12.387503, 130.858682,,,0
115,,"135 Trower Rd after Iris St",, -12.383405, 130.871447,,,0
116,,"Trower Rd before Styles St",, -12.382767, 130.874971,,,0
118,,"Vanderlin Drive after Gsell St",, -12.376619, 130.885846,,,0
119,,"Vanderlin Drive before Lee Point Rd",, -12.377198, 130.889537,,,0
120,,"Vanderlin Dr at Hibiscus Shops",, -12.378625, 130.896195,,,0
121,,"28 Patterson St",, -12.389223, 130.900339,,,0
122,,"52 Darwent St",, -12.391359, 130.899403,,,0
123,,"Darwent St after Radge Ct",, -12.395450, 130.900736,,,0
124,,"Chambers Cres at Malak Shops",, -12.397174, 130.904005,,,0
